Geography ID,Name,Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
6001,Alameda County in California,1,1886,573174,143532,10,1,31,1,7,31,8,11,8,14,24,54
6003,Alpine County in California,2,2455,397,102355,1,31,1,0,6,51,10,0,3,20,23,54
6005,Amador County in California,3,2593,14844,85420,2,1,1,0,8,77,7,4,5,25,47,23
6007,Butte County in California,3,2329,83879,81930,2,1,5,0,9,71,7,5,8,19,43,31
6009,Calaveras County in California,3,2726,16958,89931,1,1,2,0,7,80,6,2,9,20,47,24
6011,Colusa County in California,3,2435,7329,79484,2,1,1,0,44,35,11,6,24,28,32,17
6013,Contra Costa County in California,2,2433,398299,148761,9,0,17,0,10,43,9,11,8,14,30,48
6015,Del Norte County in California,3,1796,9805,69142,3,7,3,0,11,61,8,7,14,26,40,20
6017,El Dorado County in California,2,2583,73078,118825,1,1,5,0,9,77,5,2,4,17,39,39
6019,Fresno County in California,3,2392,310097,81892,5,1,11,0,32,29,9,15,20,20,36,25
6021,Glenn County in California,3,2317,10216,71081,1,2,3,0,29,51,3,11,20,29,36,15
6023,Humboldt County in California,3,2138,54120,71888,1,5,3,0,5,73,8,4,7,19,41,32
6025,Imperial County in California,3,1991,45768,66797,2,1,1,0,47,10,11,27,28,22,33,17
6027,Inyo County in California,3,2193,7954,76667,1,11,2,0,15,61,8,3,8,27,33,32
6029,Kern County in California,3,2267,273556,77847,5,1,5,0,34,34,8,13,22,24,34,20
6031,Kings County in California,3,2193,43604,77096,5,1,4,0,34,32,9,15,21,24,36,19
6033,Lake County in California,3,2384,25508,73566,2,4,1,0,7,69,5,11,11,28,41,20
6035,Lassen County in California,4,2681,9172,73140,9,3,2,1,14,65,4,3,7,24,50,19
6037,Los Angeles County in California,2,1771,3332504,105455,8,1,15,0,22,26,7,21,17,17,28,39
6039,Madera County in California,3,2444,44479,80069,3,2,2,0,27,33,8,25,25,22,36,17
6041,Marin County in California,1,2460,104926,187093,2,0,6,0,6,71,7,8,5,8,23,64
6043,Mariposa County in California,4,2493,7846,70016,2,2,1,0,8,79,4,3,8,18,44,30
6045,Mendocino County in California,3,2389,34164,76806,0,4,2,0,16,64,8,5,12,22,42,25
6047,Merced County in California,3,2217,81306,77358,3,1,8,0,24,27,6,31,27,22,35,16
6049,Modoc County in California,3,1979,3594,60959,1,4,2,0,11,77,2,3,12,30,37,20
6051,Mono County in California,2,1809,5196,86846,1,3,4,0,18,65,4,5,10,16,32,42
6053,Monterey County in California,2,2068,128003,109313,2,1,6,0,19,30,7,36,22,16,29,32
6055,Napa County in California,2,2407,48484,134080,2,1,8,0,19,52,7,11,11,14,33,41
6057,Nevada County in California,3,2763,40917,102265,0,0,1,0,7,85,5,1,5,16,39,40
6059,Orange County in California,1,1725,1040001,131565,2,0,21,0,18,40,7,12,11,14,29,47
6061,Placer County in California,2,2430,145714,126591,2,1,8,0,9,72,6,3,3,14,38,44
6063,Plumas County in California,4,3146,8332,80552,1,2,1,0,6,82,5,2,4,20,50,25
6065,Riverside County in California,2,2162,736413,96062,6,1,7,0,21,34,8,22,14,23,36,27
6067,Sacramento County in California,2,1886,547519,95464,10,1,17,1,11,44,9,8,9,18,37,36
6069,San Benito County in California,2,2331,18389,111980,1,1,3,0,40,33,12,10,15,24,39,23
6071,San Bernardino County in California,2,2100,640090,87862,8,1,7,0,29,28,9,18,16,23,36,25
6073,San Diego County in California,2,1745,1130703,115303,5,1,12,0,22,45,9,7,9,15,31,44
6075,San Francisco County in California,1,1384,362240,172624,5,0,34,0,5,40,7,8,9,9,18,63
6077,San Joaquin County in California,3,2472,231092,93380,7,1,16,1,21,31,14,10,17,25,37,21
6079,San Luis Obispo County in California,2,1673,106244,105554,1,1,4,0,14,69,7,4,6,16,39,39
6081,San Mateo County in California,1,2154,263485,188695,2,1,29,1,10,39,8,11,7,12,24,58
6083,Santa Barbara County in California,1,1573,148309,117386,2,1,5,0,28,44,10,10,14,14,34,38
6085,Santa Clara County in California,1,1991,635314,182190,2,1,38,0,11,31,7,10,8,11,21,59
6087,Santa Cruz County in California,2,2158,96275,134841,1,1,5,0,15,57,7,14,10,13,32,46
6089,Shasta County in California,3,2657,70845,78513,1,2,3,0,6,79,6,2,7,22,47,23
6091,Sierra County in California,4,3025,1250,81891,0,2,0,0,6,88,1,3,11,24,49,16
6093,Siskiyou County in California,3,1779,19195,64365,2,4,1,0,8,76,8,2,8,22,46,23
6095,Solano County in California,2,2259,151191,107366,13,1,16,1,14,37,9,9,8,20,41,30
6097,Sonoma County in California,2,2233,188958,118216,2,1,4,0,10,63,7,13,8,15,36,41
6099,Stanislaus County in California,3,2312,174826,84277,3,1,6,1,30,41,9,10,18,27,36,20
6101,Sutter County in California,3,2463,32586,87481,2,1,17,1,18,45,10,6,16,21,41,22
6103,Tehama County in California,3,2470,24661,70869,1,1,2,0,17,67,7,5,13,24,44,18
6105,Trinity County in California,3,2085,5896,59696,1,6,2,0,5,80,3,4,7,31,41,22
6107,Tulare County in California,3,2298,139044,73879,2,1,4,0,39,28,8,18,25,25,33,18
6109,Tuolumne County in California,3,2640,22937,84367,1,2,1,0,7,82,5,2,5,21,47,26
6111,Ventura County in California,1,1799,271639,123179,2,1,7,0,30,45,9,6,12,16,34,39
6113,Yolo County in California,2,2072,74614,107921,3,1,14,0,21,46,10,6,10,14,32,43
6115,Yuba County in California,3,2451,26434,78734,3,1,7,0,20,54,10,4,17,21,45,17
