"Category","Capacity (kW)"
"Santa Barbara",1600.66
"Ventura",2134.99
"San Bernardino",11727.03
"Yuba",316
"Sutter",845.52
"Kings",957.1
"Monterey",2917.25
"Nevada",24.48
"Orange",4109.13
"Riverside",12110.43
"San Diego",9787
"Marin",578.85
"San Francisco",2535.7
"Solano",294.4
"Sonoma",1772.97
"Napa",849.18
"Contra Costa",5895.16
"Calaveras",585.48
"San Joaquin",3633.62
"El Dorado",54.73
"Stanislaus",53.85
"Placer",565.22
"Shasta",502.98
"Tuolumne",5.66
"Madera",244.5
"San Benito",223.14
"Merced",1263.92
"San Luis Obispo",1168.92
"Butte",1666.14
"San Mateo",984.97
"Santa Cruz",587.05
"Santa Clara",2699.36
"Kern",3680.96
"Yolo",1930.26
"Lake",1003.9
"Mendocino",584.64
"Tehama",1034.28
"Humboldt",436.15
"Inyo",751.69
"Alameda",2924.48
"Los Angeles",9966.68
"Glenn",408.22
"Tulare",6206.64
"Fresno",5671.93