"Category","Capacity (MW)"
"Santa Barbara",120.31
"Ventura",283.32
"San Bernardino",978.37
"Yuba",68.53
"Sutter",100.66
"Kings",186.13
"Monterey",141.91
"Nevada",46.94
"Orange",895.6
"Riverside",1298.13
"San Diego",1943.09
"Marin",101.44
"San Francisco",65.47
"Solano",255.89
"Sonoma",255.7
"Napa",92.18
"Contra Costa",580.55
"Calaveras",38.43
"San Joaquin",477.89
"Lassen",2.02
"Sierra",0.05
"Sacramento",4.53
"El Dorado",161.68
"Stanislaus",65.8
"Placer",256.58
"Mariposa",10.29
"Plumas",1.92
"Shasta",65.19
"Tuolumne",36.17
"Madera",213.16
"San Benito",45.02
"Merced",211.93
"San Luis Obispo",172.43
"Colusa",50.03
"Butte",192.88
"San Mateo",182.87
"Santa Cruz",84.74
"Santa Clara",630.56
"Kern",893.11
"Amador",33.3
"Yolo",172.72
"Lake",39.13
"Mendocino",28.59
"Tehama",68.54
"Humboldt",27.21
"Inyo",7.48
"Alameda",491.57
"Los Angeles",1285.63
"Imperial",0.19
"Glenn",47.54
"Tulare",441.18
"Fresno",961.96
"Trinity",0.37
"Mono",2.13